Name,Email,Phone,City,Country,Latitude,Longitude,Category Tags
BEN-004,,+234801000004,Kubwa,Nigeria,9.1546,7.3418,"Beneficiary,Active,Female,Maternal Health"
BEN-005,,+234801000005,Karmo,Nigeria,9.0896,7.2964,"Beneficiary,Active,Female,Protection"
BEN-006,,+234801000006,Lugbe,Nigeria,8.9926,7.3796,"Beneficiary,Active,Female,Maternal Health"
BEN-007,,+234801000007,Nyanya,Nigeria,9.0024,7.5616,"Beneficiary,Active,Female,Protection"
BEN-008,,+234801000008,Nyanya-Gwagwa,Nigeria,9.0304,7.5561,"Beneficiary,Active,Female,Maternal Health"
BEN-009,,+234801000009,Dutse,Nigeria,9.0574,7.4285,"Beneficiary,Active,Female,Protection"
BEN-010,,+234801000010,Jahi,Nigeria,9.0767,7.4241,"Beneficiary,Active,Female,Maternal Health"
BEN-011,,+234801000011,Kubwa,Nigeria,9.1546,7.3418,"Beneficiary,Active,Female,Community Outreach"
BEN-012,,+234801000012,Lugbe,Nigeria,8.9926,7.3796,"Beneficiary,Active,Female,Capacity Building"
BEN-013,,+234801000013,Nyanya,Nigeria,9.0024,7.5616,"Beneficiary,Active,Female,Maternal Health"
BEN-014,,+234801000014,Jahi,Nigeria,9.0767,7.4241,"Beneficiary,Active,Female,Protection"
BEN-015,,+234801000015,Dutse,Nigeria,9.0574,7.4285,"Beneficiary,Active,Female,Community Outreach"
BEN-016,,+234801000016,Karmo,Nigeria,9.0896,7.2964,"Beneficiary,Active,Female,Maternal Health"
